Year,Year_Rank,Song,Artist,Genre,Peak,danceability,energy,valence,tempo,duration_min,loudness,acousticness
1960,8,Sixteen Reasons,Connie Stevens,Pop,3,0.339,0.406,0.619,109.8,1.97,-9,0.865
1960,10,Sweet Nothin's,Brenda Lee,Pop,4,0.778,0.413,0.961,125.2,2.41,-10.6,0.642
1960,11,Finger Poppin' Time,Hank Ballard And The Midnighters,R&B/Soul,7,0.545,0.78,0.932,159.6,2.58,-4.1,0.182
1960,12,Greenfields,The Brothers Four,Pop,2,0.466,0.125,0.338,111.4,3.03,-20.4,0.863
1960,13,Everybody's Somebody's Fool,Connie Francis,Rock,1,0.582,0.591,0.847,84.2,2.63,-9.6,0.746
1960,15,Save The Last Dance For Me,The Drifters,R&B/Soul,1,0.662,0.609,0.326,139.3,3.88,-10.9,0.181
1960,16,My Heart Has A Mind Of Its Own,Connie Francis,Rock,1,0.495,0.539,0.715,109.5,2.54,-6.1,0.819
1960,17,Last Date,Lawrence Welk And His Orchestra,Pop,2,0.615,0.306,0.613,103.8,2.45,-12,0.858
1960,18,Theme From The Apartment,Ferrante & Teicher,Pop,10,0.886,0.399,0.723,118.9,2.46,-13.9,0.295
1960,19,Handy Man,Jimmy Jones,R&B/Soul,2,0.443,0.936,0.942,146.9,2.24,-3.2,0.036
1960,20,Walk -- Don't Run,The Ventures,Rock,2,0.492,0.634,0.949,156.1,2.05,-13.2,0.842
1960,21,Wonderland By Night,Louis Prima,R&B/Soul,2,0.322,0.254,0.321,106.4,3.27,-10.1,0.84
1960,22,Cathy's Clown,The Everly Brothers,Rock,1,0.498,0.582,0.866,119.8,2.4,-9,0.412
1960,23,Sink The Bismark,Johnny Horton,Country,3,0.679,0.546,0.964,115.2,3.25,-12.6,0.648
1960,25,Teen Angel,Mark Dinning,Pop,1,0.57,0.064,0.282,101.5,2.66,-18.5,0.936
1960,26,Hot Rod Lincoln,Johnny Bond,Country,26,0.696,0.791,0.965,130.2,2.75,-13.1,0.296
1960,27,Mission Bell,Donnie Brooks,Pop,7,0.572,0.418,0.592,81.5,2.4,-12.8,0.844
1960,28,Wild One,Bobby Rydell,Rock,2,0.599,0.775,0.89,148.5,2.35,-4.6,0.709
1960,29,Chain Gang,Sam Cooke,R&B/Soul,2,0.703,0.724,0.963,131.8,2.59,-10.8,0.73
1960,30,Mule Skinner Blues,The Fendermen,Rock,5,0.51,0.592,0.545,128.9,2.47,-6.4,0.814
1960,31,Kiddio,Brook Benton,R&B/Soul,7,0.778,0.29,0.767,112,2.54,-12.9,0.837
1960,32,Stuck On You,Elvis Presley With The Jordanaires,Electronic/Dance,1,0.521,0.349,0.267,131.8,3.25,-15.4,0.272
1960,33,Devil Or Angel,Bobby Vee,Rock,6,0.389,0.266,0.615,102.8,2.35,-11.8,0.9
1960,34,Night,Jackie Wilson,R&B/Soul,4,0.284,0.498,0.327,99.1,2.83,-5.5,0.918
1960,35,Running Bear,Johnny Preston,R&B/Soul,1,0.772,0.297,0.822,120,2.64,-14.7,0.854
